,test_c,test_i,train_c,train_i
0,1103,8897,6742,53258
1,8704,1296,52069,7931
2,8771,1229,52804,7196
3,8558,1442,51597,8403
4,8793,1207,52769,7231
5,8604,1396,52166,7834
6,8648,1352,52209,7791
7,8728,1272,52622,7378
8,8578,1422,52075,7925
9,8846,1154,53436,6564
10,8803,1197,53142,6858
11,8910,1090,54013,5987
12,8673,1327,52798,7202
13,8608,1392,52196,7804
14,8669,1331,52359,7641
15,8663,1337,52585,7415
16,8761,1239,52958,7042
17,8883,1117,53956,6044
18,8740,1260,53119,6881
19,8696,1304,52784,7216
20,8888,1112,53831,6169
21,8670,1330,52540,7460
22,8613,1387,52326,7674
23,8779,1221,53362,6638
24,8703,1297,52684,7316
25,8949,1051,54238,5762
26,8576,1424,52075,7925
27,8522,1478,52032,7968
28,8725,1275,52721,7279
29,8642,1358,52299,7701
30,8928,1072,54267,5733
31,8576,1424,51983,8017
32,8723,1277,53221,6779
33,8870,1130,53793,6207
34,8569,1431,52179,7821
35,8977,1023,54317,5683
36,8805,1195,53513,6487
37,8592,1408,52230,7770
38,8531,1469,52037,7963
39,8739,1261,53071,6929
40,8738,1262,53324,6676
41,8865,1135,53789,6211
42,8693,1307,52932,7068
43,8694,1306,53020,6980
44,8562,1438,52105,7895
45,8653,1347,52451,7549
46,8582,1418,51893,8107
47,8540,1460,52253,7747
48,8720,1280,52989,7011
49,8659,1341,52656,7344
50,8753,1247,53445,6555
