,test_c,test_i,train_c,train_i
0,929,9071,5591,54409
1,8440,1560,51114,8886
2,8877,1123,53537,6463
3,8726,1274,52818,7182
4,8664,1336,52376,7624
5,8835,1165,53320,6680
6,8864,1136,53402,6598
7,8842,1158,53365,6635
8,8537,1463,51685,8315
9,8601,1399,52138,7862
10,8805,1195,53266,6734
11,8728,1272,52893,7107
12,8682,1318,52594,7406
13,8694,1306,52409,7591
14,8867,1133,53781,6219
15,8869,1131,53712,6288
16,8742,1258,52951,7049
17,8514,1486,51605,8395
18,8659,1341,52497,7503
19,8845,1155,53571,6429
20,8667,1333,52494,7506
21,8758,1242,53188,6812
22,8865,1135,53714,6286
23,8662,1338,52562,7438
24,8669,1331,52663,7337
25,8645,1355,52502,7498
26,8832,1168,53504,6496
27,8708,1292,52878,7122
28,8785,1215,53408,6592
29,8742,1258,53081,6919
30,8834,1166,53626,6374
31,8827,1173,53577,6423
32,8768,1232,53188,6812
33,8641,1359,52449,7551
34,8727,1273,53184,6816
35,8810,1190,53370,6630
36,8867,1133,53848,6152
37,8647,1353,52663,7337
38,8804,1196,53417,6583
39,8810,1190,53574,6426
40,8968,1032,54421,5579
41,8652,1348,52725,7275
42,8870,1130,53837,6163
43,8777,1223,53421,6579
44,8781,1219,53398,6602
45,8907,1093,54354,5646
46,8638,1362,52485,7515
47,8633,1367,52495,7505
48,8817,1183,53382,6618
49,8795,1205,53551,6449
50,8660,1340,52477,7523
